Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1000,30625.94,2706.1616666666664,6,5,27,2,"Credit-Builder Loan, and Home Equity Loan",57,26,1.63,11.0,Bad,1562.91,30.07719135017377,10 Years and 9 Months,Yes,42.941090422469365,77.31427572208112,High_spent_Medium_value_payments,400.36080052211616,2023-05-01
CUS_0x108a,36982.36,2554.813823273585,7,9,21,9,"Student Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Student Loan, and Personal Loan",15,15,24.61,15.0,_,4882.12,32.002993587280805,7 Years and 9 Months,Yes,454.41955211428353,275.8074536448028,Low_spent_Medium_value_payments,84.70883763399478,2023-05-01
CUS_0x10f9,150131.68,11102.135321735655,5,1,4,0,,8,0,7.49,0.0,Good,1138.36,45.2558066955709,31 Years and 11 Months,No,1494.8380115976777,180.7591380504137,High_spent_Medium_value_payments,1328.93819528292,2023-05-01
CUS_0x1119,56301.9,4593.825,9,5,26,2,"Not Specified, and Not Specified",15,18,14.73,14.0,_,2161.23,37.38149611193315,14 Years and 6 Months,Yes,50.11934808737193,310.84444036433723,Low_spent_Medium_value_payments,378.41871154829084,2023-05-01
CUS_0x1192,16319.375,1518.947916666667,7,3,1,2,"Payday Loan, and Payday Loan",16,13,7.67,9.0,Standard,1275.32,31.404445972787947,23 Years and 9 Months,NM,16.291128824626224,112.33986758269495,Low_spent_Medium_value_payments,303.2637952593456,2023-05-01
CUS_0x11b1,34819.83,2689.6525,312,3,10,1,Student Loan,14,12,7.69,4.0,_,905.89,37.698168874640345,18 Years and 10 Months,Yes,22.795396122443535,125.599605790283,High_spent_Small_value_payments,380.57024808727346,2023-05-01
CUS_0x12a7,26450.59,2079.215833333333,5,6,20,4,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, and Home Equity Loan",24,18,11.8,1.0,Standard,952.9,26.399802347810397,28 Years and 8 Months,No,73.67019025318037,19.552470959112455,High_spent_Large_value_payments,354.6989221210405,2023-05-01
CUS_0x12a9,44822.21,3555.1841666666664,1,4,2,4,"Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",10,7,1.03,0.0,Good,730.64,30.05812455618788,24 Years and 1 Months,No,135.04428557554093,100.05342133628531,High_spent_Medium_value_payments,370.4207097548404,2023-05-01
CUS_0x1340,40600.61,3420.3841666666667,4,7,6,2,"Credit-Builder Loan, and Home Equity Loan",9,0,5.5,2.0,Good,1198.96,33.44434002471432,21 Years and 3 Months,No,63.61485153131626,75.54045341818262,High_spent_Small_value_payments,462.8831117171678,2023-05-01
CUS_0x13d1,22020.37,1605.030833333333,5,6,6,3,"Debt Consolidation Loan, Credit-Builder Loan, and Personal Loan",19,6,5.14,9.0,Good,1343.64,30.789167712299648,26 Years and 4 Months,No,36.59863068535586,208.7493739989156,Low_spent_Small_value_payments,205.1550786490619,2023-05-01
CUS_0x13eb,9335.19,844.9325,7,564,26,6,"Mortgage Loan, Payday Loan, Student Loan, Payday Loan, Credit-Builder Loan, and Student Loan",17,19,18.18,12.0,Standard,1860.2,36.57530166477217,13 Years and 10 Months,Yes,41.49926737000092,82.419545019666,Low_spent_Small_value_payments,250.5744376103331,2023-05-01
CUS_0x14ba,81425.24,6579.436666666667,9,5,26,7,"Not Specified, Credit-Builder Loan, Student Loan, Mortgage Loan, Home Equity Loan, Mortgage Loan, and Mortgage Loan",12,16,3.69,9.0,Bad,1729.78,39.14349336453456,14 Years and 2 Months,NM,375.690945797382,214.33217182218544,Low_spent_Large_value_payments,337.92054904709926,2023-05-01
CUS_0x1577,38060.7,3197.725,6,6,31,6_,"Auto Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, and Student Loan",31,25,25.12,12.0,Bad,3813.35,23.161319025254112,4 Years and 5 Months,Yes,172.41152267824066,219.3005786696575,!@9#%8,188.06039865210187,2023-05-01
CUS_0x1616,34357.96,2632.163333333333,7,4,30,5,"Personal Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Student Loan",20,9,17.88,5.0,Standard,1751.09,37.68125629620079,6 Years and 3 Months,Yes,108.86649560681757,33.64521163834734,High_spent_Medium_value_payments,370.7046260881684,2023-05-01
CUS_0x168d,94559.73,7712.9775,3,6,11,4,"Payday Loan, Mortgage Loan, Auto Loan, and Auto Loan",12,10,5.83,4.0,Good,52.5,31.19007099753125,28 Years and 5 Months,No,183.7356808269508,82.65677544712769,High_spent_Medium_value_payments,754.9052937259216,2023-05-01
CUS_0x1735,84621.39,7171.7825,0,4,2,0,,3,6,7.7,9.0,Good,66.51,26.914449475721945,20 Years and 11 Months,No,0.0,101.45614072183204,High_spent_Large_value_payments,855.722109278168,2023-05-01
CUS_0x1786,73543.18,6038.598333333332,6,3,11,-100,,25,12,1.6899999999999995,5.0,Standard,1090.21,38.98632365035992,17 Years and 6 Months,Yes,0.0,191.06531827835758,High_spent_Medium_value_payments,662.7945150549757,2023-05-01
CUS_0x17a9,83386.52,7081.876666666668,10,6,23,7,"Student Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Payday Loan, and Payday Loan",36,24,22.3,8.0,Bad,4972.4,40.07920630973157,6 Years and 3 Months,Yes,482.17978316483214,126.23380470105032,High_spent_Large_value_payments,339.7740788007843,2023-05-01
CUS_0x17b0,42710.62,3766.2183333333337,8,6,13,0,,21,12,8.04,4.0,Standard,1172.87,24.78454363716775,18 Years and 2 Months,No,0.0,159.97219624412648,!@9#%8,486.64963708920686,2023-05-01
CUS_0x17c4,16962.91,1359.575833333333,10,10,17,9,"Personal Loan, Not Specified, Student Loan, Payday Loan, Personal Loan, Home Equity Loan, Payday Loan, Student Loan, and Debt Consolidation Loan",54,17,17.51,7.0,Bad,3782.93,31.742445077554954,1 Years and 10 Months,Yes,17407.0,148.36287093943398,Low_spent_Small_value_payments,208.00846558829227,2023-05-01
CUS_0x1854,30632.94,2535.745,3,5,1,2,"Not Specified, and Student Loan",17,2,_,2.0,Good,31.5,37.175807706901374,22 Years and 6 Months,No,44.890494154838144,219.6230281744796,Low_spent_Large_value_payments,259.0609776706823,2023-05-01
CUS_0x1962,33645.24,2693.77,4,6,2,3,"Auto Loan, Not Specified, and Mortgage Loan",8,14,14.47,9.0,Good,1162.68,34.689178824717224,16 Years and 10 Months,No,337.5340854764748,107.81547018638132,High_spent_Medium_value_payments,353.02283862498365,2023-05-01
CUS_0x1a87,106030.05,8628.8375,7,3,14,-100,"Student Loan, Mortgage Loan, and Home Equity Loan",12,14,9.51,8.0,_,136.53,41.35312563458053,10 Years and 8 Months,Yes,10979.0,80.59227044851785,High_spent_Large_value_payments,885.798234079124,2023-05-01
CUS_0x1b07,17818.6,1659.8833333333332,4,6,14,1,Not Specified,29,15_,10.91,3.0,Standard,301.52,37.16260614670594,18 Years and 10 Months,No,11.581101666561285,60.468589591834075,High_spent_Small_value_payments,353.93864207493795,2023-05-01
CUS_0x1b0c,51508.62,4259.385,7,7,30,7,"Home Equity Loan, Payday Loan, Not Specified, Mortgage Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan",40,24,2.58,8.0,_,3636.05,33.25893221801807,10 Years and 4 Months,Yes,255.6802071210304,305.0532521677885,Low_spent_Large_value_payments,135.2050407111812,2023-05-01
CUS_0x1bf1,18320277.0,3938.193333333333,5,7,7,1,Credit-Builder Loan,4,8,7.55,2.0,Good,515.73,38.0966588094783,20 Years and 3 Months,No,35.37456945736109,265.4921062239007,Low_spent_Small_value_payments,382.9526576520716,2023-05-01
CUS_0x1c57,66940.62,5717.384999999998,3,4,14,4,"Home Equity Loan, Mortgage Loan, Home Equity Loan, and Mortgage Loan",9,10,19.9,6.0,Standard,352.97,30.549702783825985,31 Years and 6 Months,Yes,164.2113667923369,100.58137569476924,High_spent_Medium_value_payments,556.9457575128938,2023-05-01
CUS_0x1cf3,66858.27,5770.5225,3,541,20,4,"Student Loan, Home Equity Loan, Payday Loan, and Student Loan",6,10,4.16,9.0,Standard,601.58,26.85395575328021,28 Years and 4 Months,No,175.0151817473682,129.22327039795206,High_spent_Small_value_payments,532.8137978546798,2023-05-01
CUS_0x1d46,88685.32,7417.443333333334,0,2,3,4,"Personal Loan, Personal Loan, Credit-Builder Loan, and Debt Consolidation Loan",8,4,6.75,8.0,Good,1429.35,24.950897137749944,22 Years and 0 Months,No,168.77080415188922,212.39000181973785,Low_spent_Large_value_payments,630.5835273617064,2023-05-01
CUS_0x1db4,116798.36,9912.196666666669,8,7,7,4,"Not Specified, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",15,13_,6.51,0.0,Standard,1399.73,30.17807141126989,26 Years and 8 Months,Yes,256.21661640463947,481.5950262460067,Low_spent_Small_value_payments,543.4080240160207,2023-05-01
CUS_0x1e41,133646.04,11429.17,4,5,11,2,"Mortgage Loan, and Personal Loan",7,6,2.43,3.0,_,1290.92,36.49235587889861,33 Years and 5 Months,No,114.24824264081518,148.88108511383075,High_spent_Large_value_payments,1119.7876722453543,2023-05-01
CUS_0x1e96,17187.27,1589.2725,10,7,24,8,"Debt Consolidation Loan, Payday Loan, Mortgage Loan, Auto Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Student Loan",50,15,7.79,8.0,Bad,4962.25,29.185747069581826,5 Years and 0 Months,Yes,90.56454168926052,121.8084941686795,Low_spent_Small_value_payments,236.55421414206,2023-05-01
