Customer_ID,feature_snapshot_date,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Utilization_Ratio,Monthly_Balance,credit_history_months,num_loan_types,log_Annual_Income,debt_to_income,emi_to_salary,investment_rate,has_credit_limit_change,balance_to_debt,inq_per_loan,Credit_Mix_vec,Payment_Behaviour_vec,Payment_of_Min_Amount_vec,Occupation_vec,Age_group_vec,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20
CUS_0x1037,2023-01-01,5.0,4.0,2.0,13,15.0,0.5,3.0,40.69769934536393,284.3801148556844,237,4,9.67972412163626,0.04163955351081624,0.031079899284783028,0.0739962130810869,1,0.42797173878360634,0.6,"(4,[1],[1.0])","(7,[0],[1.0])","(3,[1],[1.0])","(16,[4],[1.0])","(4,[1],[1.0])",63.0,118.0,80.0,121.0,55.0,193.0,111.0,112.0,-101.0,83.0,164.0,105.0,-16.0,-81.0,-126.0,114.0,35.0,85.0,-73.0,76.0
CUS_0x1069,2023-01-01,4.0,6.0,10.0,9,17.0,12.56,5.0,25.23314363376225,434.8488737169301,368,3,10.979144027837881,0.0035608102139317046,0.029140009601757944,0.03441568706450318,1,2.0774493504143474,0.041666666666666664,"(4,[0],[1.0])","(7,[4],[1.0])","(3,[0],[1.0])","(16,[4],[1.0])","(4,[0],[1.0])",-108.0,182.0,123.0,4.0,-56.0,27.0,25.0,-6.0,271.0,222.0,203.0,190.0,-14.0,-96.0,200.0,35.0,130.0,94.0,111.0,75.0
CUS_0x114a,2023-01-01,0.0,7.0,2.0,14,2.0,15.95,0.0,27.52511297681479,327.96536605522886,189,2,9.636030240492028,0.07521987448436804,0.016485908026228638,0.05260320521361461,1,0.2854734811951481,0.0,"(4,[1],[1.0])","(7,[0],[1.0])","(3,[1],[1.0])","(16,[7],[1.0])","(4,[1],[1.0])",-13.0,8.0,87.0,166.0,214.0,-98.0,215.0,152.0,129.0,139.0,14.0,203.0,26.0,86.0,171.0,125.0,-130.0,261.0,17.0,262.0
CUS_0x1184,2023-01-01,3.0,5.0,11.0,10,9.0,6.74,4.0,26.68978981173729,313.5944656613208,392,3,9.896889583732877,0.03559860532829017,0.03048524852771724,0.01678631894408536,1,0.4441605354605046,1.0,"(4,[1],[1.0])","(7,[6],[1.0])","(3,[1],[1.0])","(16,[1],[1.0])","(4,[1],[1.0])",-85.0,45.0,200.0,89.0,128.0,54.0,76.0,51.0,61.0,139.0,6.0,197.0,172.0,96.0,174.0,163.0,37.0,207.0,180.0,118.0
CUS_0x1297,2023-01-01,9.0,8.0,30.0,61,23.0,14.27,11.0,25.74214265617326,388.04518664772837,164,9,10.963689173209104,0.0678305119619197,0.06068281255297382,0.011023271383913432,1,0.09931031677274578,1.1,"(4,[3],[1.0])","(7,[1],[1.0])","(3,[0],[1.0])","(16,[14],[1.0])","(4,[1],[1.0])",55.0,120.0,226.0,-86.0,253.0,97.0,107.0,68.0,103.0,126.0,34.0,12.0,76.0,43.0,183.0,159.0,-26.0,104.0,118.0,184.0
CUS_0x12fb,2023-01-01,6.0,7.0,7.0,23,14.0,17.6,3.0,33.21173803384935,365.2837329906362,264,1,10.178992407712679,0.01510406010345465,29.51786764979227,0.024641708107774305,1,0.9182344772891358,1.5,"(4,[0],[1.0])","(7,[3],[1.0])","(3,[0],[1.0])","(16,[12],[1.0])","(4,[0],[1.0])",-133.0,114.0,138.0,84.0,53.0,-60.0,60.0,128.0,271.0,102.0,-70.0,-138.0,200.0,168.0,32.0,-85.0,91.0,185.0,134.0,-28.0
CUS_0x1325,2023-01-01,6.0,10.0,22.0,39,17.0,7.35,8.0,31.56717092224887,292.7811441293461,117,5,10.48640013615702,0.08457567014729396,0.038265199843457665,0.05054438106496782,1,0.09692804301312674,1.3333333333333333,"(4,[3],[1.0])","(7,[4],[1.0])","(3,[0],[1.0])","(16,[4],[1.0])","(4,[0],[1.0])",67.0,155.0,24.0,-16.0,205.0,80.0,265.0,140.0,201.0,87.0,130.0,86.0,71.0,72.0,78.0,238.0,96.0,147.0,51.0,155.0
CUS_0x1341,2023-01-01,6.0,7.0,3.0,20,8.0,7.71,2.0,24.134405197385306,295.002823434276,256,1,9.63840777941009,0.07512988911153991,0.006736181341758974,0.07869271308038303,1,0.25656605510420816,1.0,"(4,[2],[1.0])","(7,[2],[1.0])","(3,[2],[1.0])","(16,[8],[1.0])","(4,[1],[1.0])",-64.0,93.0,36.0,-1.0,3.0,183.0,-129.0,122.0,164.0,138.0,60.0,140.0,143.0,90.0,255.0,257.0,121.0,159.0,-81.0,-27.0
CUS_0x1375,2023-01-01,6.0,5.0,17.0,46,23.0,8.74,9.0,23.070388419207724,111.37835037299669,184,3,11.191689366655572,0.03722016623187527,0.025895373443623543,0.1026208160240022,1,0.04161544599799907,2.25,"(4,[3],[1.0])","(7,[2],[1.0])","(3,[0],[1.0])","(16,[1],[1.0])","(4,[3],[1.0])",167.0,37.0,169.0,155.0,4.0,151.0,99.0,192.0,-64.0,-207.0,63.0,241.0,167.0,43.0,216.0,257.0,115.0,183.0,66.0,55.0
CUS_0x13a8,2023-01-01,3.0,2.0,9.0,9,10.0,9.94,5.0,39.9399690577729,858.905607360717,401,-1,11.483084622959208,0.001988357716876159,0.0,0.025387300604403574,1,4.432731622046069,5.0,"(4,[1],[1.0])","(7,[3],[1.0])","(3,[1],[1.0])","(16,[11],[1.0])","(4,[1],[1.0])",261.0,-23.0,-4.0,-46.0,80.0,167.0,258.0,174.0,104.0,65.0,133.0,-75.0,145.0,211.0,140.0,113.0,31.0,136.0,36.0,125.0
CUS_0x13ef,2023-01-01,3.0,4.0,11.0,3,5.0,8.67,2.0,35.323932281342515,257.37987904296125,387,4,9.834542537046918,0.041291416767911815,0.0444575080178978,0.08009437963954381,1,0.33477135440453126,0.4,"(4,[2],[1.0])","(7,[0],[1.0])","(3,[1],[1.0])","(16,[9],[1.0])","(4,[1],[1.0])",100.0,35.0,58.0,-18.0,69.0,66.0,136.0,65.0,265.0,18.0,148.0,-8.0,-1.0,217.0,73.0,102.0,54.0,-74.0,150.0,147.0
CUS_0x1440,2023-01-01,8.0,5.0,32.0,59,17.0,25.55,6.0,35.14726508111757,248.79864729487448,153,7,8.959503115544965,0.5279734343936702,0.1031687501139061,0.05395856037331572,1,0.060786837873683996,0.75,"(4,[3],[1.0])","(7,[5],[1.0])","(3,[0],[1.0])","(16,[6],[1.0])","(4,[2],[1.0])",148.0,-15.0,40.0,40.0,54.0,-147.0,85.0,266.0,50.0,96.0,149.0,97.0,12.0,256.0,145.0,85.0,39.0,-86.0,261.0,225.0
CUS_0x1443,2023-01-01,5.0,6.0,15.0,6,14.0,7.48,2.0,26.82895367253983,713.5096111872554,404,4,11.386467510776498,0.006069487087771922,0.02235986715719014,0.01345097956125721,1,1.333413476135589,0.4,"(4,[0],[1.0])","(7,[3],[1.0])","(3,[1],[1.0])","(16,[1],[1.0])","(4,[0],[1.0])",127.0,90.0,-98.0,200.0,-34.0,178.0,-6.0,107.0,25.0,40.0,-33.0,114.0,167.0,36.0,183.0,170.0,-72.0,114.0,-37.0,262.0
CUS_0x145a,2023-01-01,5.0,4.0,3.0,5,7.0,2.27,4.0,26.19892581796853,506.12304545372604,198,2,10.635575839855438,0.03255381252018292,0.018496236070502655,0.012359208147477582,1,0.3742992231328153,1.3333333333333333,"(4,[1],[1.0])","(7,[1],[1.0])","(3,[1],[1.0])","(16,[1],[1.0])","(4,[0],[1.0])",123.0,256.0,187.0,29.0,193.0,138.0,183.0,185.0,271.0,97.0,38.0,38.0,99.0,-61.0,242.0,-168.0,54.0,147.0,183.0,157.0
CUS_0x1492,2023-01-01,5.0,10.0,15.0,18,23.0,13.19,6.0,33.778793632180594,286.25736702642604,194,3,9.119913897446331,0.17747195940195382,0.0151621919688621,0.08829972463081308,1,0.1770701525177072,1.5,"(4,[0],[1.0])","(7,[0],[1.0])","(3,[0],[1.0])","(16,[6],[1.0])","(4,[0],[1.0])",115.0,99.0,-27.0,18.0,135.0,-18.0,265.0,184.0,230.0,-69.0,-80.0,50.0,155.0,136.0,54.0,152.0,182.0,85.0,-136.0,254.0
CUS_0x153d,2023-01-01,7.0,5.0,30.0,31,23.0,24.73,9.0,29.328462445595303,326.97411251903986,21,6,9.052446612224253,0.48845206428316723,0.0273526517959033,0.03533194495882204,1,0.07861146632000744,1.2857142857142858,"(4,[3],[1.0])","(7,[0],[1.0])","(3,[0],[1.0])","(16,[4],[1.0])","(4,[2],[1.0])",101.0,58.0,19.0,167.0,-87.0,73.0,265.0,114.0,169.0,38.0,-48.0,224.0,22.0,54.0,146.0,257.0,-180.0,241.0,144.0,78.0
CUS_0x1567,2023-01-01,8.0,6.0,32.0,7,17.0,18.31,10.0,24.39482849248252,360.13247510264017,174,2,9.871187992847858,0.0057662723161606925,0.01610713513995048,0.026046596789764065,1,3.205507501354875,3.3333333333333335,"(4,[0],[1.0])","(7,[1],[1.0])","(3,[2],[1.0])","(16,[10],[1.0])","(4,[0],[1.0])",-97.0,-106.0,78.0,185.0,45.0,20.0,155.0,-61.0,168.0,101.0,88.0,253.0,217.0,123.0,125.0,257.0,78.0,-32.0,198.0,106.0
CUS_0x15ad,2023-01-01,0.0,5.0,4.0,23,12.0,11.0,2.0,31.78869229605427,607.4667526733832,220,3,11.318335113361394,0.0005221267298029403,0.020205249836148846,0.024327055899570064,1,13.835078505533954,0.5,"(4,[1],[1.0])","(7,[3],[1.0])","(3,[1],[1.0])","(16,[8],[1.0])","(4,[0],[1.0])",261.0,78.0,139.0,239.0,29.0,151.0,-1.0,165.0,110.0,275.0,82.0,211.0,77.0,149.0,-46.0,210.0,199.0,199.0,150.0,262.0
CUS_0x1630,2023-01-01,4.0,6.0,10.0,9,10.0,16.55,5.0,32.08662335207269,237.77742896763016,134,6,16.6894225383442,2.1294862027875174e-05,0.04900362848101821,0.057062293500947846,1,0.6316027746796194,0.7142857142857143,"(4,[0],[1.0])","(7,[2],[1.0])","(3,[0],[1.0])","(16,[15],[1.0])","(4,[0],[1.0])",153.0,135.0,73.0,188.0,209.0,171.0,143.0,51.0,137.0,275.0,113.0,159.0,10.0,256.0,181.0,-7.0,232.0,-84.0,116.0,60.0
CUS_0x169c,2023-01-01,7.0,4.0,7.0,26,9.0,4.54,6.0,24.48812158019279,311.2725196943188,395,-1,9.362883331542111,0.06715874286621866,0.0,0.06359901998641197,1,0.3986830933461671,6.0,"(4,[1],[1.0])","(7,[5],[1.0])","(3,[1],[1.0])","(16,[7],[1.0])","(4,[1],[1.0])",146.0,84.0,195.0,261.0,135.0,108.0,125.0,177.0,94.0,275.0,168.0,140.0,196.0,86.0,53.0,150.0,222.0,250.0,146.0,-83.0
CUS_0x169d,2023-01-01,5.0,7.0,14.0,18,11.0,9.25,7.0,37.53093748017479,298.1322048559125,94,4,9.063937351376355,0.2360624651615895,0.042503821789236694,0.02926237048599669,1,0.1466240900608846,1.4,"(4,[2],[1.0])","(7,[2],[1.0])","(3,[0],[1.0])","(16,[13],[1.0])","(4,[2],[1.0])",87.0,137.0,213.0,261.0,126.0,106.0,66.0,266.0,156.0,275.0,106.0,44.0,180.0,121.0,117.0,22.0,162.0,118.0,147.0,143.0
CUS_0x16f4,2023-01-01,7.0,6.0,6.0,14,9.0,1.34,1.0,33.87524269081676,306.7679384698098,362,3,10.262558573588,0.04020081026621187,20.13239739009484,0.05536817383341719,1,0.2670785251614612,0.25,"(4,[0],[1.0])","(7,[4],[1.0])","(3,[1],[1.0])","(16,[9],[1.0])","(4,[0],[1.0])",-61.0,196.0,67.0,261.0,185.0,2.0,135.0,28.0,209.0,-53.0,254.0,195.0,155.0,149.0,255.0,151.0,64.0,20.0,151.0,-13.0
CUS_0x1733,2023-01-01,8.0,4.0,32.0,12,19.0,15.02,13.0,34.61613440604157,354.4502895399865,226,3,10.751435630057776,0.03417263028775712,0.023584257532809887,0.051614593161059756,1,0.22260721056388344,3.25,"(4,[0],[1.0])","(7,[4],[1.0])","(3,[0],[1.0])","(16,[10],[1.0])","(4,[0],[1.0])",150.0,49.0,72.0,64.0,123.0,184.0,109.0,46.0,214.0,126.0,123.0,145.0,-49.0,121.0,-64.0,49.0,41.0,82.0,22.0,99.0
CUS_0x17c7,2023-01-01,8.0,10.0,10.0,22,18.0,17.13,5.0,30.489122746166878,379.56125589556643,316,2,9.732919551293161,0.0340885741961365,0.009188444628779373,0.028687365659472438,1,0.6608572498446956,1.6666666666666667,"(4,[0],[1.0])","(7,[2],[1.0])","(3,[0],[1.0])","(16,[3],[1.0])","(4,[1],[1.0])",204.0,88.0,-70.0,66.0,141.0,34.0,214.0,170.0,45.0,205.0,254.0,139.0,193.0,-26.0,174.0,96.0,17.0,50.0,137.0,84.0
