Customer_ID,loan_id,label,snapshot_date
CUS_0x501c,CUS_0x501c_2024_03_01,1,2024-09-01
CUS_0x5048,CUS_0x5048_2024_03_01,1,2024-09-01
CUS_0x5161,CUS_0x5161_2024_03_01,0,2024-09-01
CUS_0x525f,CUS_0x525f_2024_03_01,0,2024-09-01
CUS_0x5336,CUS_0x5336_2024_03_01,0,2024-09-01
CUS_0x5375,CUS_0x5375_2024_03_01,0,2024-09-01
CUS_0x53e8,CUS_0x53e8_2024_03_01,1,2024-09-01
CUS_0x53e9,CUS_0x53e9_2024_03_01,1,2024-09-01
CUS_0x5435,CUS_0x5435_2024_03_01,0,2024-09-01
CUS_0x544f,CUS_0x544f_2024_03_01,1,2024-09-01
CUS_0x558d,CUS_0x558d_2024_03_01,1,2024-09-01
CUS_0x55b5,CUS_0x55b5_2024_03_01,0,2024-09-01
CUS_0x55c5,CUS_0x55c5_2024_03_01,1,2024-09-01
CUS_0x563d,CUS_0x563d_2024_03_01,1,2024-09-01
CUS_0x5737,CUS_0x5737_2024_03_01,0,2024-09-01
CUS_0x574a,CUS_0x574a_2024_03_01,0,2024-09-01
CUS_0x5764,CUS_0x5764_2024_03_01,1,2024-09-01
CUS_0x580e,CUS_0x580e_2024_03_01,0,2024-09-01
CUS_0x581e,CUS_0x581e_2024_03_01,0,2024-09-01
CUS_0x5898,CUS_0x5898_2024_03_01,0,2024-09-01
CUS_0x5981,CUS_0x5981_2024_03_01,1,2024-09-01
CUS_0x59c1,CUS_0x59c1_2024_03_01,1,2024-09-01
CUS_0x5a2d,CUS_0x5a2d_2024_03_01,1,2024-09-01
CUS_0x5a48,CUS_0x5a48_2024_03_01,1,2024-09-01
CUS_0x5a59,CUS_0x5a59_2024_03_01,1,2024-09-01
CUS_0x5ade,CUS_0x5ade_2024_03_01,0,2024-09-01
CUS_0x5af6,CUS_0x5af6_2024_03_01,0,2024-09-01
CUS_0x5afe,CUS_0x5afe_2024_03_01,0,2024-09-01
CUS_0x5b5a,CUS_0x5b5a_2024_03_01,0,2024-09-01
CUS_0x5b6f,CUS_0x5b6f_2024_03_01,0,2024-09-01
CUS_0x5b7d,CUS_0x5b7d_2024_03_01,1,2024-09-01
CUS_0x5bd3,CUS_0x5bd3_2024_03_01,0,2024-09-01
CUS_0x5c06,CUS_0x5c06_2024_03_01,0,2024-09-01
CUS_0x5c81,CUS_0x5c81_2024_03_01,1,2024-09-01
CUS_0x5c92,CUS_0x5c92_2024_03_01,1,2024-09-01
CUS_0x5d3d,CUS_0x5d3d_2024_03_01,1,2024-09-01
CUS_0x5da3,CUS_0x5da3_2024_03_01,0,2024-09-01
CUS_0x5e3f,CUS_0x5e3f_2024_03_01,1,2024-09-01
CUS_0x5e6a,CUS_0x5e6a_2024_03_01,0,2024-09-01
CUS_0x5e84,CUS_0x5e84_2024_03_01,1,2024-09-01
CUS_0x5e89,CUS_0x5e89_2024_03_01,0,2024-09-01
CUS_0x5ecb,CUS_0x5ecb_2024_03_01,1,2024-09-01
CUS_0x5f43,CUS_0x5f43_2024_03_01,0,2024-09-01
CUS_0x5f61,CUS_0x5f61_2024_03_01,0,2024-09-01
CUS_0x6020,CUS_0x6020_2024_03_01,0,2024-09-01
CUS_0x6077,CUS_0x6077_2024_03_01,0,2024-09-01
CUS_0x60ad,CUS_0x60ad_2024_03_01,0,2024-09-01
CUS_0x60f9,CUS_0x60f9_2024_03_01,1,2024-09-01
CUS_0x6117,CUS_0x6117_2024_03_01,0,2024-09-01
CUS_0x614d,CUS_0x614d_2024_03_01,1,2024-09-01
CUS_0x6187,CUS_0x6187_2024_03_01,0,2024-09-01
CUS_0x61c8,CUS_0x61c8_2024_03_01,0,2024-09-01
CUS_0x624c,CUS_0x624c_2024_03_01,1,2024-09-01
CUS_0x629,CUS_0x629_2024_03_01,0,2024-09-01
CUS_0x6308,CUS_0x6308_2024_03_01,0,2024-09-01
CUS_0x6397,CUS_0x6397_2024_03_01,1,2024-09-01
CUS_0x648b,CUS_0x648b_2024_03_01,1,2024-09-01
CUS_0x64c0,CUS_0x64c0_2024_03_01,1,2024-09-01
CUS_0x6510,CUS_0x6510_2024_03_01,0,2024-09-01
CUS_0x651d,CUS_0x651d_2024_03_01,0,2024-09-01
CUS_0x672c,CUS_0x672c_2024_03_01,0,2024-09-01
CUS_0x6734,CUS_0x6734_2024_03_01,0,2024-09-01
CUS_0x6793,CUS_0x6793_2024_03_01,0,2024-09-01
CUS_0x67a3,CUS_0x67a3_2024_03_01,1,2024-09-01
CUS_0x6809,CUS_0x6809_2024_03_01,1,2024-09-01
CUS_0x6831,CUS_0x6831_2024_03_01,1,2024-09-01
CUS_0x6883,CUS_0x6883_2024_03_01,0,2024-09-01
CUS_0x68a5,CUS_0x68a5_2024_03_01,0,2024-09-01
